down arrow
media
muscle
news
ó
old
pic
pictographs
recta
scale
si
square root
str
strawberry
strong
ta
virus
visit
wifi
xx
you
”
)
&eacute;
⭐
1/5
18
22
balloon
ballot box check
bas
bask
black curved rightwards and downwards arrow
cap
